ExifTool	-	ExifTool Version Number	13.40
XMP	-	Color Noise Reduction Detail	50
XMP	-	Color Noise Reduction Smoothness	50
XMP	-	Sharpen Radius	2.00
XMP	-	Sharpen Detail	25
XMP	-	Sharpen Edge Masking	0
XMP	-	Contrast 2012	0
XMP	-	Camera Profile	Camera Standard
XMP	-	Hue Adjustment Red	0
XMP	-	Hue Adjustment Orange	0
XMP	-	Hue Adjustment Yellow	0
XMP	-	Saturation Adjustment Red	0
XMP	-	Saturation Adjustment Orange	0
XMP	-	Saturation Adjustment Yellow	0
XMP	-	Luminance Adjustment Red	0
XMP	-	Luminance Adjustment Orange	0
XMP	-	Luminance Adjustment Yellow	0
Composite	-	Aperture	2.0
Composite	-	Blue Balance	1.722656
Composite	-	CFA Pattern	[Red,Green][Green,Blue]
Composite	-	Image Size	5600x3728
Composite	-	Megapixels	20.9
Composite	-	Red Balance	1.65625
Composite	-	Scale Factor To 35 mm Equivalent	1.5
Composite	-	Shutter Speed	1/60
Composite	-	Create Date	2026:05:02 18:44:55.28+08:00
Composite	-	Date/Time Original	2026:05:02 18:44:55.28+08:00
Composite	-	Modify Date	2026:05:02 18:44:55.28+08:00
Composite	-	Auto Focus	On
Composite	-	Contrast Detect AF	Off
Composite	-	Lens Spec	35mm f/1.7 AF
Composite	-	Phase Detect AF	Off
Composite	-	Circle Of Confusion	0.020 mm
Composite	-	Depth Of Field	1.31 m (3.86 - 5.16 m)
Composite	-	Field Of View	37.9 deg (3.03 m)
Composite	-	Focal Length	35.0 mm (35 mm equivalent: 52.0 mm)
Composite	-	Hyperfocal Distance	30.29 m
Composite	-	Light Value	5.9
